name,types,count_review,grade,price,platforms,developer,tags,date_release
Gaia,RPG Games,(75 reviews),,,хз,Eternal Stardust Studios,"Base Building,Open World Survival Craft,Exploration,Procedural Generation,Adventure,RPG,Action,Simulation,Flight,Survival,Strategy,Open World,Building,Sandbox,Sci-fi,Female Protagonist,Underwater,Atmospheric,Character Customization,Indie","3 Apr, 2020"
BLOCK WARRIORS: Classic Edition,Action Games,(610 reviews),,,хз,Cyber Gaming,"Adventure,Action,RPG,Open World,Racing,Crime,Sandbox,Anime,Singleplayer,Shooter,Voxel,Simulation,Action-Adventure,Action RPG,Life Sim,Third-Person Shooter,America,Atmospheric,Driving,Management","5 Sep, 2017"
NecroWorm,"Casual Games,Walkabout Franchise",(63 reviews),,13 pуб.,хз,postpunkpl,"Logic,Puzzle,Old School,Funny,Cartoon,Difficult,Arcade,Horror,Dark Humor,Retro,2D,Indie,Comedy,Singleplayer,Colorful,Casual,Action,Adventure,Dungeon Crawler,Precision Platformer","18 May, 2017"
Overkill VR: Action Shooter FPS,Action Games,(248 reviews),Mostly Positive,104 pуб.,хз,Starloop Studios,"Action,Simulation,Violent,VR,FPS,Shooter","16 Nov, 2016"
King Arthur's Gold,Free to Play Games,"(4,942 reviews)",Mostly Positive,29 pуб.,хз,Transhuman Design,"Multiplayer,2D,Action,Pixel Graphics,Building,Indie,Medieval,Sandbox,Team-Based,Platformer,Competitive,Co-op,Free to Play,Strategy,Side Scroller,Fast-Paced,Singleplayer,Adventure,Funny,Casual","5 Nov, 2013"
Portal Knights - Portal Pioneer Pack,"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",(16 reviews),,47 pуб.,хз,Keen Games,"Action,Adventure,RPG","20 Jul, 2017"
Madness Cubed,Action Games,(764 reviews),Mostly Positive,36 pуб.,хз,epic dreams,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Shooter,Multiplayer,Zombies,Building,FPS,Horror,First-Person,Voxel,Co-op","12 May, 2016"
8-Bit Hordes,Strategy Games,(444 reviews),Very Positive,174 pуб.,хз,Petroglyph,"Strategy,Indie,RTS,Simulation,Pixel Graphics,Multiplayer,Voxel,Fantasy,Building,Sandbox,Horror","12 Aug, 2016"
Occupy White Walls,Massively Multiplayer Games,"(1,217 reviews)",Very Positive,,хз,KULTURA Ex Machina,"Building,Sandbox,Simulation,Free to Play,Relaxing,Multiplayer,Atmospheric,Education,Massively Multiplayer,Immersive,First-Person,Online Co-Op,Open World,Colorful,Exploration,Realistic,3D,Immersive Sim,Experimental,Walking Simulator","8 Jul, 2022"
Portal Knights - Gold Throne Pack,"Action Games,505 Games Official Franchise,Portal Knights,Downloadable Content",(20 reviews),,59 pуб.,хз,Keen Games,"Action,Adventure,RPG","20 Jul, 2017"
Bridge Constructor,"Indie Games,Bridge Constructor Franchise Franchise",(706 reviews),Mostly Positive,49 pуб.,хз,ClockStone,"Simulation,Casual,Indie,Physics,Puzzle,Building,Singleplayer","16 Oct, 2013"
